수집시각,측정시각,측정소,PM10,PM2.5,통합지수,오존,이산화질소,일산화탄소,아황산가스
2025-05-26 17:11:09,2025-05-26 16:00,읍내동,28,30,88,0.075,0.014,0.4,0.003
2025-05-26 17:11:10,2025-05-26 16:00,문평동,31,18,98,0.087,0.011,0.4,0.003
2025-05-26 17:11:11,2025-05-26 16:00,문창동,25,13,94,0.083,0.007,0.4,0.002
2025-05-26 17:11:11,2025-05-26 16:00,구성동,31,13,90,0.077,0.006,0.4,0.003
2025-05-26 17:11:12,2025-05-26 16:00,노은동,35,15,93,0.081,0.006,0.3,0.003
2025-05-26 17:11:12,2025-05-26 16:00,상대동(대전),26,17,-,-,-,-,-
2025-05-26 17:11:12,2025-05-26 16:00,관평동,27,14,91,0.080,0.006,0.4,0.004
2025-05-26 17:11:13,2025-05-26 16:00,지족동,36,13,85,0.072,0.016,0.3,0.003
2025-05-26 17:11:13,2025-05-26 16:00,대흥동1,28,12,72,0.055,0.020,0.4,0.003
2025-05-26 17:11:13,2025-05-26 16:00,성남동1,30,21,95,0.084,0.008,0.4,0.003
2025-05-26 17:11:14,2025-05-26 16:00,대성동,24,13,87,0.074,0.008,0.4,0.004
2025-05-26 17:11:14,2025-05-26 16:00,정림동,23,11,92,0.081,0.007,0.4,0.003
2025-05-26 17:11:14,2025-05-26 16:00,둔산동,29,12,86,0.073,0.007,0.3,0.003
2025-05-26 17:11:15,2025-05-26 16:00,월평동,26,14,93,0.082,0.009,0.5,0.003
