dmX,item,mangName,year,addr,stationName,dmY
36.372778,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1988,대전 대덕구 대전로 1331번길 75(태아산업(주)) 태아산업(주),읍내동,127.417222
36.446944,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2002,대전 대덕구 문평동로 18번길 34(문평동 119안전센터) 문평동 119안전센터,문평동,127.404722
36.316111,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1986,대전 중구 보문로 20번길 38(문창동 주민센터) 문창동 주민센터,문창동,127.437778
36.372411,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2007,대전 유성구 대학로 407 보건환경연구원 보건환경연구원,구성동,127.373938
36.3682,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2011,대전 유성구 노은동로 87번길 89(노은1동 주민센터) 노은1동 주민센터 3층 옥상,노은동,127.3185
36.3364108,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2018,대전광역시 유성구 도안대로 398 대전역사박물관 (상대동),상대동(대전),127.3349525
36.425168,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2020,대전광역시 유성구 테크노중앙로 88 동화울수변공원 내 (관평동),관평동,127.395931
36.376236,"SO2, CO, O3, NO2, PM10, PM2.5",도로변대기,2024,대전광역시 유성구 지족동 881-1 두루봉근린공원 내,지족동,127.323475
36.323889,"SO2, CO, O3, NO2, PM10, PM2.5",도로변대기,1997,대전 중구 중앙로 58 도로변,대흥동1,127.418333
36.344444,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2003,대전 동구 계족로 368번길 70(성남동 주민센터) 성남동 주민센터,성남동1,127.437222
36.3018429,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2018,대전광역시 동구 동구청로 36 남부여성가족원 (대성동),대성동,127.4602048
36.304667,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2004,대전 서구 정림동로 10(정림동 주민센터) 정림동 주민센터,정림동,127.366717
36.354444,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2006,대전 서구 둔산서로 84(근로자 종합복지회관) 근로자 종합복지회관(3층 옥상),둔산동,127.383056
36.351111,"SO2, CO, O3, NO2, PM10, PM2.5",도로변대기,2007,대전 서구 월평동160-5 도로변(월평자동차종합시장앞),월평동,127.354167
